"Import","Address this file","Name this file","Name Database","Address other file","Name other file","Similarity","Confidence","Algorithm"
"false","0x197","_DT_INIT","_DT_INIT","0x197","_DT_INIT","1.000","0.989","function: name hash matching"
"false","0x390","FUN_00000390","","0x390","","1.000","0.993","function: edges callgraph MD index"
"false","0x950","FUN_00000950","","0x950","","1.000","0.991","function: edges callgraph MD index"
"false","0x9a0","FUN_000009a0","","0x9a0","","1.000","0.993","function: edges flowgraph MD index"
"false","0xac0","FUN_00000ac0","","0xac0","","1.000","0.993","function: edges flowgraph MD index"
"false","0xb40","FUN_00000b40","","0xb40","","1.000","0.992","function: prime signature matching"
"false","0xb80","FUN_00000b80","","0xb80","","1.000","0.991","function: prime signature matching"
"false","0xbc0","FUN_00000bc0","","0xbc0","","1.000","0.993","function: hash matching"
"false","0xc90","FUN_00000c90","","0xc90","","1.000","0.993","function: edges callgraph MD index"
"false","0xe20","FUN_00000e20","","0xe20","","1.000","0.993","function: edges flowgraph MD index"
"false","0x1030","sys_getpid","sys_getpid","0x266d80","sys_getpid","1.000","0.993","function: name hash matching"
"false","0x1050","sys_getppid","sys_getppid","0x266da0","sys_getppid","1.000","0.989","function: name hash matching"
"false","0x10c0","sys_getpgrp","sys_getpgrp","0x266e10","sys_getpgrp","1.000","0.989","function: name hash matching"
"false","0x1130","sys_getpgid","sys_getpgid","0x266e80","sys_getpgid","1.000","0.993","function: name hash matching"
"false","0x11e0","FUN_000011e0","","0x266f30","","1.000","0.993","function: hash matching"
"false","0x1200","sys_getsid","sys_getsid","0x266f50","sys_getsid","1.000","0.993","function: name hash matching"
"false","0x12b0","sys_getuid","sys_getuid","0x267000","sys_getuid","1.000","0.993","function: name hash matching"
"false","0x12d0","sys_geteuid","sys_geteuid","0x267020","sys_geteuid","1.000","0.993","function: name hash matching"
"false","0x12f0","sys_getgid","sys_getgid","0x267040","sys_getgid","1.000","0.993","function: name hash matching"
"false","0x1310","sys_getegid","sys_getegid","0x267060","sys_getegid","1.000","0.993","function: name hash matching"
"false","0x1330","sys_getgroups","sys_getgroups","0x267080","sys_getgroups","1.000","0.993","function: name hash matching"
"false","0x1430","FUN_00001430","","0x267180","","1.000","0.993","function: edges flowgraph MD index"
"false","0x1480","sys_setsid","sys_setsid","0x2671d0","sys_setsid","1.000","0.993","function: name hash matching"
"false","0x15d0","sys_setpgid","sys_setpgid","0x267320","sys_setpgid","1.000","0.993","function: name hash matching"
"false","0x18e0","sys_setuid","sys_setuid","0x267630","sys_setuid","1.000","0.993","function: name hash matching"
"false","0x1b50","FUN_00001b50","","0x2678a0","","1.000","0.992","function: edges callgraph MD index"
"false","0x1bf0","FUN_00001bf0","","0x267940","","1.000","0.993","function: edges callgraph MD index"
"false","0x1d80","FUN_00001d80","","0x267ad0","","1.000","0.989","function: edges flowgraph MD index"
"false","0x1dd0","FUN_00001dd0","","0x267b20","","1.000","0.993","function: hash matching"
"false","0x1df0","FUN_00001df0","","0x267b40","","1.000","0.982","function: MD index matching (callGraph MD index\, top down)"
"false","0x1e00","FUN_00001e00","","0x267b50","","1.000","0.982","function: prime signature matching"
"false","0x1e30","FUN_00001e30","","0x267b80","","1.000","0.991","function: edges callgraph MD index"
"false","0x1ec0","sys_seteuid","sys_seteuid","0x267c10","sys_seteuid","1.000","0.993","function: name hash matching"
"false","0x2090","sys_setgid","sys_setgid","0x267de0","sys_setgid","1.000","0.993","function: name hash matching"
"false","0x2280","FUN_00002280","","0x96a0","","1.000","0.818","function: address sequence"
"false","0x2290","FUN_00002290","","0x267fe0","","1.000","0.982","function: MD index matching (callGraph MD index\, top down)"
"false","0x22a0","FUN_000022a0","","0x267ff0","","1.000","0.982","function: MD index matching (callGraph MD index\, top down)"
"false","0x22b0","sys_setegid","sys_setegid","0x268000","sys_setegid","1.000","0.993","function: name hash matching"
"false","0x2450","sys_setgroups","sys_setgroups","0x2681a0","sys_setgroups","1.000","0.993","function: name hash matching"
"false","0x2500","FUN_00002500","","0x268250","","1.000","0.993","function: edges callgraph MD index"
"false","0x2800","sys_setreuid","sys_setreuid","0x268550","sys_setreuid","1.000","0.993","function: name hash matching"
"false","0x2ad0","sys_setregid","sys_setregid","0x268820","sys_setregid","1.000","0.993","function: name hash matching"
"false","0x2d20","sys_setresuid","sys_setresuid","0x268a70","sys_setresuid","1.000","0.993","function: name hash matching"
